Country,Clicks,Impressions,CTR,Position
India,2,4,50%,9.25
Singapore,1,2,50%,9.5
United States,0,65,0%,43.91
Vietnam,0,28,0%,31.11
Pakistan,0,25,0%,28.64
Philippines,0,23,0%,30.3
Malaysia,0,22,0%,29.55
Morocco,0,22,0%,31.86
Bangladesh,0,20,0%,39
Brazil,0,19,0%,30.63
Indonesia,0,18,0%,28.28
Egypt,0,16,0%,27.31
Mexico,0,16,0%,34.38
Colombia,0,12,0%,23.67
Algeria,0,7,0%,32.86
Canada,0,6,0%,12.83
Netherlands,0,6,0%,17.83
Ecuador,0,6,0%,37.5
Germany,0,5,0%,8.4
Argentina,0,5,0%,23.8
Sweden,0,5,0%,70.8
Spain,0,4,0%,20.25
Israel,0,3,0%,25.33
Saudi Arabia,0,3,0%,27.67
South Africa,0,3,0%,39.33
France,0,2,0%,7
Japan,0,2,0%,10.5
Portugal,0,2,0%,27.5
Nigeria,0,2,0%,28
Russia,0,2,0%,39
Italy,0,2,0%,41.5
Hong Kong,0,1,0%,1
Switzerland,0,1,0%,5
South Korea,0,1,0%,5
Romania,0,1,0%,7
Belgium,0,1,0%,8
Georgia,0,1,0%,9
Greece,0,1,0%,9
United Kingdom,0,1,0%,10
Turkey,0,1,0%,10
United Arab Emirates,0,1,0%,13
Oman,0,1,0%,13
Belarus,0,1,0%,20
Jordan,0,1,0%,20
Ukraine,0,1,0%,21
Venezuela,0,1,0%,21
Azerbaijan,0,1,0%,28
Panama,0,1,0%,30
Bahrain,0,1,0%,43
Chile,0,1,0%,46
Ethiopia,0,1,0%,48
Iraq,0,1,0%,49
Myanmar (Burma),0,1,0%,49
Uruguay,0,1,0%,49
Qatar,0,1,0%,50
